"","AINU","ANDAMAN","ANYANG","ARIKARA","ATAYAL","AUSTRALI","BERG","BURIAT","BUSHMAN","DOGON","EASTER I","EGYPT","ESKIMO","GUAM","HAINAN","MOKAPU","MORIORI","N JAPAN","N MAORI","NORSE","PERU","PHILLIPI","S JAPAN","S MAORI","SANTA CR","TASMANIA","TEITA","TOLAI","ZALAVAR","ZULU"
"AINU",0,9.88443397668982,3.41365423075356,4.01767295318981,5.45731956991452,5.37267620976081,4.82937198238716,7.29069689829658,8.94870293053507,7.73159294216644,4.05475951006342,7.46827407844504,6.67081557304741,2.2481466999086,4.34978871638387,2.78321270851514,4.52130766255916,3.22275543332454,4.04727024626285,6.14754058661616,6.85725861310564,2.92232231692286,3.7403949404894,4.56099889321652,5.3012390767915,5.00963844994117,7.41995656979715,5.30158751924233,3.78620518706687,3.53468942341322
"ANDAMAN",9.88443397668982,0,10.6879712452666,9.53263403395493,5.58764334989531,9.58033082776095,8.08097876232098,12.7058655823893,6.07885188650991,5.05349471549237,11.8407468185015,7.10826930984904,11.7959169785554,10.5908180966244,6.90615147509687,10.4260048508806,11.0575087191552,8.42751978632011,12.526024917393,8.8843781994658,5.82619403678283,8.64862352272659,7.40265784662753,13.5019529107067,7.67911103489837,8.03612526394506,7.4414577935252,8.78240192248406,8.09725723331382,7.89469149956996
"ANYANG",3.41365423075356,10.6879712452666,0,5.5808846521608,5.95226887745517,7.91827766079142,6.89287326983111,7.10905670493205,10.4372820872158,8.45361744013714,5.8277752490681,9.31240676148774,7.17492019957928,1.72912525352865,3.9606174150067,3.10759124027149,5.83555563988722,2.99128485400769,5.68984218096304,8.32769838607837,7.84773309255779,2.66942013282229,3.70480007669396,5.47305638564756,6.78978728177966,7.18906673497266,8.99370543980535,6.65636295019333,6.26502571216556,5.43384503299643
"ARIKARA",4.01767295318981,9.53263403395493,5.5808846521608,0,6.2699982378589,5.6775084708606,4.86836988434465,7.4483180806948,9.92446263403395,8.14332396250751,6.11808036040367,7.32423456099704,7.28946114840601,4.49613144406169,4.96351892161346,4.36793156976037,3.05190768326242,4.43836340135341,4.83857404482537,6.17993576156003,6.21456712461203,4.19891038292151,5.15739300163613,4.98629584635322,4.11523199739132,5.55004147016556,8.08650586061207,5.65593795697887,4.62312965791477,5.46262896426809
"ATAYAL",5.45731956991452,5.58764334989531,5.95226887745517,6.2699982378589,0,7.44955132450949,4.87501456522141,9.20443078578009,5.91658698536044,5.66066094488809,8.25662762896051,7.19113361489245,8.94258458162929,6.04811399261015,2.63031139576175,6.29982713239512,8.02671369689439,3.86190984891513,8.81190915562721,7.50004750801408,4.25691876594073,4.310598402745,3.1950543643952,9.4294309367094,5.42903691124258,6.07434258958813,7.24478877454823,6.70058799932513,4.78137636079433,4.81448112317667
"AUSTRALI",5.37267620976081,9.58033082776095,7.91827766079142,5.6775084708606,7.44955132450949,0,6.63472486288324,9.9195254652934,8.24440503526508,7.86810763852227,6.20464124775927,7.98095862321805,8.35501740766599,6.88515707827429,7.26080956120575,6.59017953696264,6.24774937997678,6.89051474791217,6.21309476262033,6.76481434033727,7.93527705979555,6.21425635059847,6.92533829878736,7.57506220523466,5.21893409203404,2.1992095668261,6.60627910697516,3.36908062560505,5.76557576217987,4.40693605854156
"BERG",4.82937198238716,8.08097876232098,6.89287326983111,4.86836988434465,4.87501456522141,6.63472486288324,0,8.2021855975453,7.74113304395573,7.22570113476263,8.21995516283046,5.77197363133641,9.237315137908,6.183780674244,5.15657840840111,6.85970159720241,6.89285593129249,5.18443585507532,7.76936470254838,5.10574361207397,4.4539096201738,5.11595735016337,5.45050637424876,8.0582684245843,4.67944746021122,5.95354036043379,7.75629369695212,7.58333108832479,2.09694740674853,5.05777160925674
"BURIAT",7.29069689829658,12.7058655823893,7.10905670493205,7.4483180806948,9.20443078578009,9.9195254652934,8.2021855975453,0,12.0126079440297,9.34162126608752,9.76412068768873,9.61756679365241,6.0243649647171,7.03382532935204,8.14659917952018,7.98436324099972,8.50311840578002,7.24870985849555,8.76898055874046,7.50980130740363,9.69395207989127,7.44541078384448,8.12599814804173,8.0124622270982,8.51578363704066,10.1767846730424,9.21160951878354,10.2653766322236,8.65412019969123,8.8580859851318
"BUSHMAN",8.94870293053507,6.07885188650991,10.4372820872158,9.92446263403395,5.91658698536044,8.24440503526508,7.74113304395573,12.0126079440297,0,6.74722825892448,10.9038161729263,8.90422560111842,11.5433872105799,10.2133683680424,7.81814550520416,10.2939370371346,11.3328418950739,8.23299539159356,11.8880855003674,9.26228809251477,7.50155979231417,8.81164435696776,7.51450604711776,12.8197021100695,7.74559234686199,7.56369048938037,6.92402940773602,8.87181348311529,7.94611151215507,6.58000988523658
"DOGON",7.73159294216644,5.05349471549237,8.45361744013714,8.14332396250751,5.66066094488809,7.86810763852227,7.22570113476263,9.34162126608752,6.74722825892448,0,9.69176115395097,5.25687991303789,8.54847819310983,8.23445828050879,5.87990298586416,8.5352751495556,9.45629083619944,7.06233837175647,10.5134976046095,6.04902406697438,6.76487667181429,6.71868462164087,6.18449470893253,11.3056621937226,7.12899995161988,6.757856862476,3.53997085532119,7.24251992954055,7.08531504931006,5.8104494595706
